ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20120000046,2012-01-01,16:25:00,2,Struck Pedestrian,1,Sunday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,47545,1,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other
T20120000062,2012-01-01,18:00:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248782,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20120000060,2012-01-01,19:40:00,6,Vehicle overturned (no collision),1,Sunday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,248602,1,0,1,0,0,1,1,2,T intersection,2,60,Local Road
T20120000009,2012-01-01,02:25:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,249102,1,0,0,2,0,2,1,5,Not at intersection,3,100,Arterial Other
T20120000059,2012-01-01,18:05:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273183,1,0,2,0,0,2,1,5,Not at intersection,2,100,Arterial Highway
T20120000058,2012-01-01,06:40:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,44349,1,0,1,0,0,1,1,1,Cross intersection,2,60,Local Road
T20120000056,2012-01-01,16:15:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,249133,1,0,2,0,0,2,1,2,T intersection,2,100,Local Road
T20120000054,2012-01-01,18:20:00,1,Collision with vehicle,1,Sunday,116,LEFT NEAR (INTERSECTIONS ONLY),1,29701,2,0,1,0,1,2,1,1,Cross intersection,2,80,Arterial Other
T20120000053,2012-01-01,16:50:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,1,35388,2,0,1,2,4,7,1,2,T intersection,2,80,Arterial Other
T20120000028,2012-01-01,04:00:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,248598,1,0,1,0,0,1,1,2,T intersection,2,100,
