ACCIDENT_NO,PERSON_ID,VEHICLE_ID,SEX,AGE_GROUP,INJ_LEVEL,INJ_LEVEL_DESC,SEATING_POSITION,HELMET_BELT_WORN,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,LICENCE_STATE,TAKEN_HOSPITAL,EJECTED_CODE
T20250000606,A,A,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20240012104,02,A,M,26-29,4,Not injured,OR,6.0,2,Drivers,,,
T20240012104,01,,M,22-25,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20240015196,01,B,F,50-59,3,Other injury,D,9.0,16,E-scooter Rider,V,N,1.0
T20240012414,01,A,F,26-29,3,Other injury,LF,9.0,3,Passengers,,N,0.0
T20240011040,A,A,U,Unknown,4,Not injured,NK,9.0,9,Not Known,Z,,9.0
T20240011040,01,,F,60-64,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20240001586,01,A,F,18-21,4,Not injured,LF,9.0,3,Passengers,,,0.0
T20200004467,01,A,M,16-17,3,Other injury,LF,9.0,3,Passengers,,Y,
T20200004467,B,B,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,
T20200004467,A,A,F,50-59,3,Other injury,D,9.0,2,Drivers,V,Y,
T20200008868,01,,M,30-39,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20200007833,A,A,M,50-59,2,Serious injury,D,9.0,6,Bicyclists,V,Y,1.0
T20190018772,A,A,F,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190018772,B,B,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190018772,01,A,F,18-21,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20240001586,02,A,F,16-17,4,Not injured,OR,9.0,3,Passengers,,,0.0
T20240001586,04,A,M,5-12,4,Not injured,OR,9.0,3,Passengers,,,0.0
T20200016792,B,B,F,40-49,3,Other injury,D,1.0,2,Drivers,V,,
T20240001586,03,A,F,18-21,4,Not injured,OR,9.0,3,Passengers,,,0.0
T20230018096,A,A,M,26-29,2,Serious injury,D,9.0,4,Motorcyclists,V,Y,1.0
T20160009920,A,A,M,40-49,3,Other injury,D,6.0,4,Motorcyclists,Z,Y,1.0
T20200014473,A,A,F,30-39,3,Other injury,D,9.0,2,Drivers,V,,
T20200014473,B,B,M,26-29,4,Not injured,D,9.0,2,Drivers,V,,
T20240005873,A,A,F,65-69,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20240005873,B,B,U,Unknown,4,Not injured,D,9.0,9,Not Known,Z,,9.0
T20230014397,A,A,M,30-39,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230015089,B,B,F,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20240004193,A,A,M,70+,3,Other injury,D,6.0,6,Bicyclists,V,,1.0
T20240004193,B,B,F,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20230027369,B,B,M,50-59,2,Serious injury,D,6.0,6,Bicyclists,V,Y,1.0
T20210025039,01,A,F,18-21,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20190003428,B,B,M,5-12,3,Other injury,D,6.0,6,Bicyclists,,Y,1.0
T20190018193,A,A,F,26-29,2,Serious injury,D,6.0,9,Not Known,V,Y,1.0
T20190025219,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,
T20210025039,A,A,F,18-21,3,Other injury,D,1.0,2,Drivers,Z,,0.0
T20240007985,B,B,M,30-39,3,Other injury,D,9.0,6,Bicyclists,V,,1.0
T20180022964,02,B,F,18-21,4,Not injured,NK,8.0,9,Not Known,,,0.0
T20180022964,A,A,M,26-29,3,Other injury,D,1.0,2,Drivers,V,Y,0.0
T20180022964,01,C,M,50-59,4,Not injured,NK,8.0,9,Not Known,,,0.0
T20200005226,A,A,F,30-39,3,Other injury,D,1.0,2,Drivers,V,,
T20200005226,B,B,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,
T20200007428,A,A,U,Unknown,4,Not injured,D,9.0,2,Drivers,Z,,0.0
T20200007428,C,C,F,60-64,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200007428,B,B,F,30-39,4,Not injured,D,9.0,2,Drivers,Z,,0.0
T20210025357,A,A,F,40-49,3,Other injury,D,1.0,2,Drivers,V,,
T20230020582,A,A,F,30-39,3,Other injury,D,9.0,6,Bicyclists,,N,2.0
T20240007838,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200005548,01,C,M,16-17,4,Not injured,NK,9.0,9,Not Known,,,0.0
T20200005548,02,C,U,13-15,4,Not injured,NK,9.0,9,Not Known,,,0.0
T20200005548,C,C,M,16-17,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20200008717,A,A,M,30-39,3,Other injury,D,9.0,4,Motorcyclists,V,,1.0
T20200008717,B,B,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,0.0
T20200003528,B,B,M,60-64,4,Not injured,D,9.0,2,Drivers,V,,
T20200003528,A,A,M,26-29,3,Other injury,D,9.0,2,Drivers,V,,
T20230013042,A,A,F,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230015940,A,A,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230015940,B,B,F,22-25,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20230013514,A,A,M,50-59,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,2.0
T20230014207,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,Z,,9.0
T20230020341,B,B,M,40-49,2,Serious injury,D,6.0,6,Bicyclists,V,Y,2.0
T20200015546,A,A,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,
T20200015546,B,B,M,30-39,3,Other injury,D,1.0,2,Drivers,V,,
T20200018245,B,B,M,50-59,4,Not injured,NK,9.0,2,Drivers,V,,
T20200018245,A,A,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,
T20200012474,A,A,F,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20200012474,B,B,M,26-29,3,Other injury,D,9.0,2,Drivers,O,,
T20190019190,A,A,M,26-29,3,Other injury,D,9.0,4,Motorcyclists,V,,0.0
T20210007140,02,A,M,5-12,4,Not injured,RR,1.0,3,Passengers,,,0.0
T20210007140,A,A,F,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210007140,01,A,M,5-12,3,Other injury,CR,1.0,3,Passengers,,N,0.0
T20210007140,B,B,M,65-69,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210007476,A,A,M,26-29,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20160021936,02,,M,65-69,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20160021936,B,B,M,40-49,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20210013954,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230014696,A,A,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210020559,B,B,M,65-69,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210006301,A,A,M,65-69,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230021834,B,B,F,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210012442,01,,M,26-29,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20190001464,A,A,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190001464,B,B,M,30-39,3,Other injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20190013467,A,A,M,18-21,2,Serious injury,D,7.0,4,Motorcyclists,V,Y,1.0
T20190018637,B,B,F,50-59,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20200014806,B,B,F,50-59,2,Serious injury,D,6.0,6,Bicyclists,,Y,1.0
T20240001970,A,A,F,26-29,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190010690,A,A,M,65-69,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20200001820,C,C,F,26-29,4,Not injured,D,1.0,2,Drivers,V,,
T20210009162,A,A,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190010871,01,,F,65-69,3,Other injury,,8.0,1,Pedestrians,,Y,0.0
T20190010871,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210010247,01,A,F,13-15,4,Not injured,LF,9.0,3,Passengers,,,0.0
T20210010247,A,A,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190022001,A,A,M,40-49,3,Other injury,D,6.0,6,Bicyclists,V,N,1.0
T20210012194,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,W,,0.0
T20210012194,C,C,M,26-29,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20140006633,A,A,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20140003563,01,A,M,40-49,3,Other injury,LF,1.0,3,Passengers,V,Y,0.0
T20140003563,B,B,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20140003563,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20140004972,B,B,M,30-39,2,Serious injury,D,6.0,6,Bicyclists,,Y,
T20220005411,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200007657,A,A,M,65-69,2,Serious injury,D,2.0,2,Drivers,V,Y,0.0
T20210002004,A,A,M,50-59,4,Not injured,D,2.0,2,Drivers,V,,0.0
T20210000548,A,A,F,30-39,3,Other injury,D,9.0,2,Drivers,V,N,0.0
T20210019128,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210019128,B,B,M,13-15,3,Other injury,D,6.0,6,Bicyclists,,,0.0
T20210002630,A,A,M,60-64,4,Not injured,D,1.0,2,Drivers,V,,0.0
