ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000009,A,1996.0,1.0,E,1.0,Paved,V,SEDAN,HOLDEN,ACCLAI,,1,Car,,R,P,4.0,6.0,5.0,1350.0,2.0,,,E,1.0,18.0,H,WHI,ZZ,2.0,1,1.0,5,1.0,0.0,No control
T20120000012,A,2002.0,1.0,W,1.0,Paved,V,SEDAN,HOLDEN,MONARO,,1,Car,,R,P,4.0,8.0,4.0,1600.0,2.0,,,W,1.0,1.0,H,BLU,ZZ,2.0,1,1.0,2,2.0,1.0,Stop-go lights
T20120000012,B,1988.0,2.0,S,1.0,Paved,V,SEDAN,TOYOTA,,,1,Car,1450.0,R,P,4.0,4.0,5.0,1150.0,1.0,300.0,,S,1.0,1.0,H,WHI,ZZ,2.0,5,9.0,4,1.0,1.0,Stop-go lights
T20120000013,A,1997.0,1.0,N,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,4.0,5.0,1300.0,1.0,,,N,1.0,18.0,H,GLD,ZZ,2.0,5,1.0,4,1.0,0.0,No control
T20120000013,B,2010.0,2.0,N,1.0,Paved,V,WAGON,TOYOTA,,,2,Station Wagon,,R,P,4.0,6.0,7.0,2250.0,0.0,,,N,11.0,11.0,H,BLK,ZZ,2.0,4,2.0,4,2.0,0.0,No control
T20120000018,A,1983.0,1.0,W,1.0,Paved,Q,SED,TOYOTA,COROLL,,1,Car,,,Z,,4.0,5.0,910.0,1.0,,,N,2.0,18.0,H,YLW,ZZ,2.0,5,1.0,5,2.0,0.0,No control
T20120000021,A,1998.0,1.0,NE,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1300.0,3.0,,,NE,1.0,18.0,H,GLD,ZZ,2.0,F,2.0,3,1.0,0.0,No control
T20120000028,A,1996.0,1.0,SE,1.0,Paved,V,S WAG,L ROV,RANGE,,2,Station Wagon,,R,P,4.0,8.0,5.0,2040.0,1.0,,,SE,3.0,3.0,H,BLU,ZZ,2.0,6,2.0,5,1.0,0.0,No control
T20120000032,A,2008.0,1.0,NE,1.0,Paved,V,SED,HOLDEN,OMEGA,,3,Taxi,,R,M,4.0,6.0,5.0,1622.0,1.0,,,NE,1.0,1.0,H,YLW,ZZ,2.0,N,1.0,6,2.0,0.0,No control
T20120000043,A,2006.0,2.0,SE,1.0,Paved,V,WAGON,TOYOTA,LANDCR,,2,Station Wagon,,R,D,4.0,6.0,8.0,2464.0,2.0,,,SE,1.0,1.0,H,SIL,ZZ,2.0,8,1.0,5,1.0,0.0,No control
